table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
.Dade County, Georgia,"16,239","16,221","16,090","16,165"
.Dawson County, Georgia,"27,059","28,498","30,189","31,732"
.Decatur County, Georgia,"29,326","29,091","29,019","29,087"
.DeKalb County, Georgia,"764,489","759,113","761,779","762,992"
.Dodge County, Georgia,"19,949","19,734","19,873","19,776"
.Dooly County, Georgia,"11,156","10,869","10,585","10,981"
.Dougherty County, Georgia,"85,155","82,235","82,895","82,645"
.Douglas County, Georgia,"144,648","145,748","147,453","149,160"
.Early County, Georgia,"10,794","10,635","10,560","10,563"
.Echols County, Georgia,"3,721","3,698","3,686","3,709"
.Effingham County, Georgia,"65,169","66,764","69,034","71,541"
.Elbert County, Georgia,"19,668","19,571","19,873","20,013"
.Emanuel County, Georgia,"22,893","22,899","22,946","23,119"
.Evans County, Georgia,"10,792","10,697","10,659","10,754"
.Fannin County, Georgia,"25,436","25,797","25,733","25,955"
.Fayette County, Georgia,"119,491","120,715","121,981","123,351"
.Floyd County, Georgia,"98,583","98,487","99,437","100,113"
.Forsyth County, Georgia,"252,901","260,783","267,312","272,887"
.Franklin County, Georgia,"23,471","23,510","24,146","24,782"
.Fulton County, Georgia,"1,069,394","1,062,451","1,073,698","1,079,105"
.Gilmer County, Georgia,"31,427","32,106","32,403","32,860"
.Glascock County, Georgia,"2,899","2,901","2,928","2,954"
.Glynn County, Georgia,"84,482","84,786","85,145","86,172"
.Gordon County, Georgia,"57,722","58,239","58,855","59,757"
.Grady County, Georgia,"26,224","25,850","25,994","26,066"
.Greene County, Georgia,"19,028","19,544","20,111","20,722"
.Gwinnett County, Georgia,"958,359","965,338","976,173","983,526"
.Habersham County, Georgia,"46,142","46,748","47,465","48,757"
.Hall County, Georgia,"203,473","207,080","212,621","217,267"
.Hancock County, Georgia,"8,711","8,677","8,417","8,676"
.Haralson County, Georgia,"30,036","30,595","31,355","32,038"
.Harris County, Georgia,"34,898","35,589","36,257","36,654"
.Hart County, Georgia,"25,878","26,319","26,886","27,556"
.Heard County, Georgia,"11,444","11,532","11,716","12,034"
.Henry County, Georgia,"241,852","245,085","248,472","254,613"
.Houston County, Georgia,"164,356","167,228","169,775","171,974"
.Irwin County, Georgia,"9,647","9,369","9,114","9,120"
.Jackson County, Georgia,"76,731","80,374","84,009","88,615"
.Jasper County, Georgia,"14,662","15,263","15,979","16,455"
.Jeff Davis County, Georgia,"14,800","14,860","14,891","14,906"
.Jefferson County, Georgia,"15,676","15,476","15,294","15,183"
.Jenkins County, Georgia,"8,663","8,764","8,655","8,627"
.Johnson County, Georgia,"9,183","8,999","9,211","9,282"
.Jones County, Georgia,"28,402","28,406","28,512","28,969"
.Lamar County, Georgia,"18,549","18,697","19,473","20,401"
.Lanier County, Georgia,"9,929","10,051","10,177","10,452"
.Laurens County, Georgia,"49,535","49,524","49,710","49,941"
.Lee County, Georgia,"33,222","33,209","33,678","33,872"
.Liberty County, Georgia,"65,317","66,800","67,919","69,210"
.Lincoln County, Georgia,"7,702","7,749","7,859","7,879"
.Long County, Georgia,"16,270","17,108","18,395","19,594"
.Lowndes County, Georgia,"118,416","118,916","119,499","120,712"
.Lumpkin County, Georgia,"33,641","32,843","34,706","35,258"
.McDuffie County, Georgia,"21,607","21,619","21,690","21,799"
.McIntosh County, Georgia,"10,985","11,054","11,183","11,501"
.Macon County, Georgia,"12,021","11,852","11,777","11,817"
.Madison County, Georgia,"30,276","30,887","31,450","32,191"
.Marion County, Georgia,"7,530","7,434","7,436","7,440"
.Meriwether County, Georgia,"20,617","20,725","20,890","20,931"
.Miller County, Georgia,"5,992","5,853","5,774","5,747"
.Mitchell County, Georgia,"21,671","21,318","21,192","21,114"
.Monroe County, Georgia,"28,057","28,753","29,469","30,625"
.Montgomery County, Georgia,"8,576","8,646","8,643","8,761"
.Morgan County, Georgia,"20,201","20,650","21,024","21,460"
.Murray County, Georgia,"40,012","39,975","40,410","41,035"
.Muscogee County, Georgia,"207,006","205,060","202,432","201,877"
.Newton County, Georgia,"112,890","115,341","117,752","120,135"
.Oconee County, Georgia,"42,016","43,034","43,624","44,182"
.Oglethorpe County, Georgia,"14,869","15,187","15,531","15,754"
.Paulding County, Georgia,"169,580","173,989","178,753","183,164"
.Peach County, Georgia,"28,036","28,245","28,486","28,805"
.Pickens County, Georgia,"33,337","34,021","34,825","35,969"
.Pierce County, Georgia,"19,747","19,975","20,190","20,425"
.Pike County, Georgia,"18,946","19,540","19,955","20,461"
.Polk County, Georgia,"42,924","43,316","43,669","44,223"
.Pulaski County, Georgia,"9,870","9,570","9,963","10,095"
.Putnam County, Georgia,"22,170","22,614","22,933","23,129"
.Quitman County, Georgia,"2,227","2,242","2,259","2,280"
.Rabun County, Georgia,"16,912","17,120","17,267","17,442"
.Randolph County, Georgia,"6,368","6,263","6,126","6,078"
.Richmond County, Georgia,"206,524","205,274","206,344","205,414"
.Rockdale County, Georgia,"93,611","93,888","94,945","95,987"
.Schley County, Georgia,"4,536","4,486","4,497","4,526"
.Screven County, Georgia,"14,077","14,062","13,970","14,174"
.Seminole County, Georgia,"9,133","9,162","9,144","9,092"
.Spalding County, Georgia,"67,471","67,765","69,008","69,946"
.Stephens County, Georgia,"26,818","26,765","26,746","27,228"
.Stewart County, Georgia,"5,303","4,915","4,604","4,674"
.Sumter County, Georgia,"29,520","28,981","28,864","28,890"
.Talbot County, Georgia,"5,726","5,755","5,757","5,718"
.Taliaferro County, Georgia,"1,559","1,569","1,608","1,609"
.Tattnall County, Georgia,"24,321","24,092","23,988","24,296"
.Taylor County, Georgia,"7,818","7,769","7,762","7,758"
.Telfair County, Georgia,"12,465","12,317","12,378","10,920"
.Terrell County, Georgia,"9,140","8,924","8,792","8,718"
.Thomas County, Georgia,"45,775","45,818","45,551","45,649"
.Tift County, Georgia,"41,387","41,082","41,335","41,554"
.Toombs County, Georgia,"27,078","26,847","26,813","27,040"
.Towns County, Georgia,"12,547","12,880","12,961","13,035"
.Treutlen County, Georgia,"6,397","6,365","6,359","6,341"
.Troup County, Georgia,"69,333","69,518","70,247","70,742"
.Turner County, Georgia,"8,986","8,919","8,836","8,909"
.Twiggs County, Georgia,"8,013","7,881","7,676","7,691"
.Union County, Georgia,"24,802","25,552","26,390","27,124"
.Upson County, Georgia,"27,745","27,689","28,093","28,263"
.Walker County, Georgia,"67,738","68,417","68,965","69,489"
.Walton County, Georgia,"97,158","99,814","103,064","106,702"
.Ware County, Georgia,"36,229","35,545","35,597","36,243"
.Warren County, Georgia,"5,207","5,208","5,157","5,106"
.Washington County, Georgia,"19,952","19,758","19,765","19,820"
.Wayne County, Georgia,"30,142","30,220","30,737","31,373"
.Webster County, Georgia,"2,351","2,362","2,337","2,337"
.Wheeler County, Georgia,"7,449","7,737","7,310","7,081"
.White County, Georgia,"28,108","28,389","28,804","29,026"
.Whitfield County, Georgia,"102,784","102,712","103,095","103,687"
.Wilcox County, Georgia,"8,787","8,737","8,751","8,779"
.Wilkes County, Georgia,"9,552","9,489","9,565","9,518"
.Wilkinson County, Georgia,"8,833","8,786","8,677","8,725"
.Worth County, Georgia,"20,732","20,565","20,431","20,273"
.Hawaii County, Hawaii,"200,744","203,875","206,348","207,615"
.Honolulu County, Hawaii,"1,012,399","1,004,163","994,828","989,408"
.Kalawao County, Hawaii,80,81,81,81
.Kauai County, Hawaii,"73,190","73,829","73,783","73,851"
.Maui County, Hawaii,"164,768","164,797","164,359","164,183"
.Ada County, Idaho,"498,278","513,025","519,004","524,673"
.Adams County, Idaho,"4,428","4,623","4,791","4,903"
.Bannock County, Idaho,"87,276","88,515","89,625","90,400"
.Bear Lake County, Idaho,"6,367","6,567","6,730","6,766"
.Benewah County, Idaho,"9,576","9,895","10,291","10,369"
.Bingham County, Idaho,"48,097","48,929","49,973","50,395"
.Blaine County, Idaho,"24,348","24,782","24,901","25,041"
.Boise County, Idaho,"7,664","8,133","8,360","8,517"
.Bonner County, Idaho,"47,403","49,633","51,407","52,547"
.Bonneville County, Idaho,"124,737","128,064","129,543","131,366"
.Boundary County, Idaho,"12,139","12,620","13,272","13,557"
.Butte County, Idaho,"2,584","2,666","2,698","2,758"
.Camas County, Idaho,"1,084","1,137","1,169","1,232"
.Canyon County, Idaho,"233,013","243,710","250,892","257,674"
.Caribou County, Idaho,"7,013","7,109","7,200","7,219"
.Cassia County, Idaho,"24,760","25,244","25,644","25,696"
.Clark County, Idaho,792,793,810,801
.Clearwater County, Idaho,"8,750","8,925","9,035","9,214"
.Custer County, Idaho,"4,271","4,446","4,518","4,523"
.Elmore County, Idaho,"28,669","28,978","29,391","29,724"
.Franklin County, Idaho,"14,282","14,670","15,170","15,494"
.Fremont County, Idaho,"13,419","13,591","14,017","14,196"
.Gem County, Idaho,"19,272","19,802","20,454","21,071"
.Gooding County, Idaho,"15,649","15,793","15,879","16,061"
.Idaho County, Idaho,"16,594","17,059","17,637","17,890"
.Jefferson County, Idaho,"31,080","32,201","33,336","34,198"
.Jerome County, Idaho,"24,270","24,738","25,244","25,479"
.Kootenai County, Idaho,"172,785","180,058","183,290","185,010"
.Latah County, Idaho,"39,638","40,400","40,924","41,301"
.Lemhi County, Idaho,"7,962","8,160","8,284","8,441"
.Lewis County, Idaho,"3,527","3,690","3,725","3,739"
.Lincoln County, Idaho,"5,134","5,285","5,385","5,450"
.Madison County, Idaho,"52,928","54,092","54,958","54,547"
.Minidoka County, Idaho,"21,668","21,944","22,208","22,480"
.Nez Perce County, Idaho,"42,145","42,500","42,909","42,987"
.Oneida County, Idaho,"4,566","4,605","4,740","4,953"
.Owyhee County, Idaho,"11,996","12,356","12,645","12,722"
.Payette County, Idaho,"25,590","26,386","26,929","27,279"
.Power County, Idaho,"7,879","7,975","8,136","8,253"
.Shoshone County, Idaho,"13,199","13,615","13,935","14,026"
.Teton County, Idaho,"11,735","12,273","12,519","12,549"
.Twin Falls County, Idaho,"90,372","92,394","93,821","95,156"
.Valley County, Idaho,"11,842","12,256","12,450","12,644"
.Washington County, Idaho,"10,558","10,900","11,147","11,425"
.Adams County, Illinois,"65,614","65,064","64,556","64,441"
.Alexander County, Illinois,"5,169","5,025","4,841","4,695"
.Bond County, Illinois,"16,684","16,623","16,536","16,450"
.Boone County, Illinois,"53,343","53,173","53,068","53,202"
.Brown County, Illinois,"6,227","6,432","6,316","6,294"
.Bureau County, Illinois,"33,191","32,959","32,827","32,729"
.Calhoun County, Illinois,"4,407","4,395","4,353","4,317"
.Carroll County, Illinois,"15,672","15,702","15,579","15,526"
.Cass County, Illinois,"12,991","12,790","12,638","12,596"
.Champaign County, Illinois,"205,654","206,605","206,169","205,644"
.Christian County, Illinois,"33,960","33,703","33,390","33,228"
.Clark County, Illinois,"15,429","15,352","15,160","15,088"
.Clay County, Illinois,"13,273","13,163","13,077","12,999"
.Clinton County, Illinois,"36,901","36,882","36,937","36,785"
.Coles County, Illinois,"46,760","46,802","46,346","46,060"
.Cook County, Illinois,"5,263,608","5,180,919","5,111,566","5,087,072"
.Crawford County, Illinois,"18,651","18,684","18,495","18,300"
.Cumberland County, Illinois,"10,433","10,352","10,308","10,261"
.DeKalb County, Illinois,"100,269","100,482","100,223","100,288"
.De Witt County, Illinois,"15,461","15,403","15,365","15,365"
.Douglas County, Illinois,"19,764","19,694","19,667","19,629"
.DuPage County, Illinois,"931,317","926,848","921,664","921,213"
.Edgar County, Illinois,"16,786","16,576","16,385","16,334"
.Edwards County, Illinois,"6,208","6,084","6,058","5,968"
.Effingham County, Illinois,"34,703","34,508","34,300","34,331"
.Fayette County, Illinois,"21,490","21,438","21,270","21,164"
.Ford County, Illinois,"13,513","13,479","13,256","13,250"
.Franklin County, Illinois,"37,697","37,459","37,215","37,138"
.Fulton County, Illinois,"33,487","33,275","32,935","32,541"
.Gallatin County, Illinois,"4,935","4,895","4,823","4,670"
.Greene County, Illinois,"11,936","11,847","11,640","11,543"
.Grundy County, Illinois,"52,516","52,959","53,149","53,578"
.Hamilton County, Illinois,"7,999","7,913","7,981","7,911"
.Hancock County, Illinois,"17,543","17,376","17,254","17,186"
.Hardin County, Illinois,"3,642","3,635","3,572","3,569"
.Henderson County, Illinois,"6,335","6,306","6,168","6,088"
.Henry County, Illinois,"49,167","48,911","48,596","48,448"
.Iroquois County, Illinois,"26,984","26,775","26,493","26,136"
.Jackson County, Illinois,"52,891","52,604","52,477","52,141"
.Jasper County, Illinois,"9,241","9,193","9,172","9,144"
.Jefferson County, Illinois,"36,995","36,889","36,419","36,320"
.Jersey County, Illinois,"21,494","21,349","21,191","21,091"
.Jo Daviess County, Illinois,"22,057","21,972","21,845","21,756"
.Johnson County, Illinois,"13,318","13,472","13,391","13,326"
.Kane County, Illinois,"516,181","516,292","514,139","514,982"
.Kankakee County, Illinois,"107,264","106,605","105,998","105,940"
.Kendall County, Illinois,"132,355","135,015","137,494","139,976"
.Knox County, Illinois,"49,790","49,310","48,620","48,411"
.Lake County, Illinois,"713,281","712,570","709,899","708,760"
.LaSalle County, Illinois,"109,410","109,160","108,181","108,309"
.Lawrence County, Illinois,"15,268","15,228","14,891","14,813"
.Lee County, Illinois,"34,062","34,195","33,938","33,654"
.Livingston County, Illinois,"35,792","35,769","35,517","35,320"
.Logan County, Illinois,"27,912","27,979","27,666","27,590"
.McDonough County, Illinois,"27,100","26,880","26,914","26,839"
.McHenry County, Illinois,"309,882","311,543","311,558","312,800"
.McLean County, Illinois,"170,949","171,109","170,918","170,441"
.Macon County, Illinois,"103,752","102,597","101,333","100,591"
.Macoupin County, Illinois,"44,856","44,492","44,123","44,018"
.Madison County, Illinois,"265,643","264,867","263,572","262,752"
.Marion County, Illinois,"37,652","37,379","36,905","36,673"
.Marshall County, Illinois,"11,717","11,668","11,671","11,683"
.Mason County, Illinois,"13,058","12,830","12,699","12,523"
.Massac County, Illinois,"14,133","13,946","13,827","13,661"
.Menard County, Illinois,"12,270","12,167","12,072","11,954"
.Mercer County, Illinois,"15,632","15,580","15,533","15,487"
.Monroe County, Illinois,"34,953","35,004","35,001","34,957"
.Montgomery County, Illinois,"28,202","28,082","27,901","27,663"
.Morgan County, Illinois,"32,845","32,646","32,298","32,140"
.Moultrie County, Illinois,"14,481","14,561","14,375","14,342"
.Ogle County, Illinois,"51,692","51,464","51,345","51,265"
.Peoria County, Illinois,"181,319","179,638","178,000","177,513"
.Perry County, Illinois,"20,886","21,014","20,512","20,503"
.Piatt County, Illinois,"16,681","16,757","16,675","16,714"
.Pike County, Illinois,"14,640","14,621","14,499","14,342"
.Pope County, Illinois,"3,754","3,758","3,746","3,707"
.Pulaski County, Illinois,"5,160","5,075","4,950","4,911"
.Putnam County, Illinois,"5,630","5,588","5,553","5,561"
.Randolph County, Illinois,"30,090","30,204","30,026","29,815"
.Richland County, Illinois,"15,790","15,767","15,555","15,488"
.Rock Island County, Illinois,"144,360","142,923","141,559","141,236"
.St. Clair County, Illinois,"256,844","254,958","252,265","251,018"
.Saline County, Illinois,"23,690","23,316","23,052","22,873"
.Sangamon County, Illinois,"196,144","195,371","194,151","193,491"
.Schuyler County, Illinois,"6,868","6,831","6,753","6,733"
.Scott County, Illinois,"4,941","4,849","4,771","4,710"
.Shelby County, Illinois,"20,919","20,862","20,710","20,568"
.Stark County, Illinois,"5,382","5,284","5,313","5,218"
.Stephenson County, Illinois,"44,503","44,062","43,556","43,105"
.Tazewell County, Illinois,"131,086","130,412","129,610","129,541"
.Union County, Illinois,"17,184","16,921","16,772","16,667"
.Vermilion County, Illinois,"74,009","73,164","72,103","71,652"
.Wabash County, Illinois,"11,318","11,208","11,040","10,942"
.Warren County, Illinois,"16,821","16,585","16,360","16,185"
.Washington County, Illinois,"13,723","13,640","13,623","13,536"
.Wayne County, Illinois,"16,126","15,956","15,843","15,761"
.White County, Illinois,"13,808","13,758","13,595","13,401"
.Whiteside County, Illinois,"55,565","55,302","54,555","54,498"
.Will County, Illinois,"696,826","699,176","698,046","700,728"
.Williamson County, Illinois,"67,114","66,883","66,544","66,706"
.Winnebago County, Illinois,"284,916","283,333","281,542","280,922"
.Woodford County, Illinois,"38,413","38,220","38,177","38,285"
.Adams County, Indiana,"35,849","35,991","36,151","36,288"
.Allen County, Indiana,"386,103","389,163","391,644","394,545"
.Bartholomew County, Indiana,"82,218","82,729","83,394","84,003"
.Benton County, Indiana,"8,715","8,686","8,672","8,729"
.Blackford County, Indiana,"12,105","12,041","11,919","11,893"
.Boone County, Indiana,"71,137","73,080","74,309","76,120"
.Brown County, Indiana,"15,485","15,592","15,587","15,653"
.Carroll County, Indiana,"20,339","20,525","20,514","20,525"
.Cass County, Indiana,"37,786","37,558","37,537","37,666"
.Clark County, Indiana,"121,360","122,895","124,222","125,467"
.Clay County, Indiana,"26,427","26,394","26,410","26,460"
