table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
.Routt County, Colorado,"24,832","25,058","25,072","25,064"
.Saguache County, Colorado,"6,389","6,511","6,627","6,688"
.San Juan County, Colorado,711,741,806,802
.San Miguel County, Colorado,"8,054","8,080","8,008","7,868"
.Sedgwick County, Colorado,"2,389","2,326","2,286","2,299"
.Summit County, Colorado,"31,001","30,998","30,636","30,465"
.Teller County, Colorado,"24,744","24,945","24,860","24,617"
.Washington County, Colorado,"4,813","4,868","4,847","4,855"
.Weld County, Colorado,"331,458","339,897","350,266","359,442"
.Yuma County, Colorado,"9,971","9,925","9,895","9,862"
.Capitol Planning Region, Connecticut,"962,436","970,142","972,068","975,328"
.Greater Bridgeport Planning Region, Connecticut,"324,387","326,752","327,125","327,651"
.Lower Connecticut River Valley Planning Region, Connecticut,"173,268","175,430","175,982","176,215"
.Naugatuck Valley Planning Region, Connecticut,"449,285","452,281","453,590","456,128"
.Northeastern Connecticut Planning Region, Connecticut,"95,222","95,605","96,148","96,692"
.Northwest Hills Planning Region, Connecticut,"112,202","112,953","113,277","113,463"
.South Central Connecticut Planning Region, Connecticut,"564,076","568,450","568,402","568,158"
.Southeastern Connecticut Planning Region, Connecticut,"278,342","278,820","279,257","279,634"
.Western Connecticut Planning Region, Connecticut,"618,368","623,258","622,857","623,907"
.Kent County, Delaware,"182,315","185,043","187,758","189,789"
.New Castle County, Delaware,"570,918","572,029","575,254","578,592"
.Sussex County, Delaware,"238,629","247,809","256,447","263,509"
.District of Columbia, District of Columbia,"670,839","669,037","670,949","678,972"
.Alachua County, Florida,"279,737","281,889","284,041","285,994"
.Baker County, Florida,"28,116","28,669","27,786","28,368"
.Bay County, Florida,"174,525","179,520","185,210","190,769"
.Bradford County, Florida,"28,222","28,050","27,296","27,858"
.Brevard County, Florida,"608,775","617,900","630,707","643,979"
.Broward County, Florida,"1,943,398","1,935,575","1,946,889","1,962,531"
.Calhoun County, Florida,"13,707","13,518","13,465","13,470"
.Charlotte County, Florida,"187,995","194,934","202,582","206,134"
.Citrus County, Florida,"154,568","158,167","162,508","166,696"
.Clay County, Florida,"218,951","222,648","226,634","232,439"
.Collier County, Florida,"377,310","387,226","397,516","404,310"
.Columbia County, Florida,"69,740","69,932","71,870","73,063"
.DeSoto County, Florida,"34,086","34,333","35,320","35,979"
.Dixie County, Florida,"16,687","16,933","17,120","17,465"
.Duval County, Florida,"997,784","1,002,774","1,017,011","1,030,822"
.Escambia County, Florida,"322,568","323,459","323,860","326,928"
.Flagler County, Florida,"116,028","120,974","126,758","131,439"
.Franklin County, Florida,"12,468","12,183","12,492","12,594"
.Gadsden County, Florida,"43,411","43,599","43,393","43,833"
.Gilchrist County, Florida,"17,882","18,316","19,002","19,587"
.Glades County, Florida,"12,078","12,266","12,463","12,786"
.Gulf County, Florida,"14,259","14,462","15,299","15,693"
.Hamilton County, Florida,"13,729","13,072","13,194","13,471"
.Hardee County, Florida,"25,339","25,322","25,651","25,760"
.Hendry County, Florida,"39,723","40,215","41,391","43,333"
.Hernando County, Florida,"195,624","200,693","206,935","212,807"
.Highlands County, Florida,"101,349","103,279","105,649","107,614"
.Hillsborough County, Florida,"1,466,255","1,484,607","1,513,473","1,535,564"
.Holmes County, Florida,"19,578","19,309","19,653","19,944"
.Indian River County, Florida,"160,446","163,869","167,267","169,795"
.Jackson County, Florida,"47,096","47,119","48,255","48,622"
.Jefferson County, Florida,"14,399","14,494","15,069","15,450"
.Lafayette County, Florida,"8,218","7,952","7,777","8,078"
.Lake County, Florida,"386,216","396,352","410,090","424,462"
.Lee County, Florida,"765,547","790,888","822,391","834,573"
.Leon County, Florida,"293,955","296,007","297,282","296,913"
.Levy County, Florida,"43,059","44,156","45,253","46,545"
.Liberty County, Florida,"7,804","7,290","7,613","7,706"
.Madison County, Florida,"17,869","18,099","18,230","18,519"
.Manatee County, Florida,"401,619","413,716","429,169","441,095"
.Marion County, Florida,"377,472","385,135","396,437","409,959"
.Martin County, Florida,"158,671","160,197","161,987","163,315"
.Miami-Dade County, Florida,"2,695,685","2,669,748","2,673,056","2,686,867"
.Monroe County, Florida,"82,847","82,220","81,618","80,614"
.Nassau County, Florida,"91,031","94,399","97,826","101,501"
.Okaloosa County, Florida,"212,085","213,641","216,464","218,464"
.Okeechobee County, Florida,"39,652","40,031","40,373","41,427"
.Orange County, Florida,"1,431,679","1,427,761","1,451,761","1,471,416"
